Name,Price (in Roubles)
Dead Ringer Snake Eye Glock front sight,"5,265"
Glock 9x19 Moto Cut slide,"7,350"
Izhmash 7.62x39 AKM muzzlebrake & compensator (6P1 0-14),669
Leupold DeltaPoint Reflex Sight,"23,069"
12x70 shell with .50 BMG bullet,171
Armband (red),"6,712"
"16"" barrel for SR-25 and compatible 7.62x51","33,604"
PM-Laser DTK-TT muzzle brake for TT pistol,"3,739"
Magpul PRS GEN2 FDE stock,"9,812"
"7.62x51 metal magazine for VPO-101 and compatibles, 5-round capacity","1,700"
120 pcs. 5.45x39 BT gs ammo pack,"61,574"
Glock thread protector produced by Salient Arms,683
Stock silencer for PB 9x18 PM,"6,916"
10-round 6L24 9x39 VSS magazine,"1,850"
Pilgrim tourist backpack,"37,176"
ASh-12 12.7x55 tactical suppressor,"28,027"
Ars Arma A18 Skanda plate carrier (80/80),"105,726"
X-14 M14 50 round 7.62x51 magazine,"48,633"
Spike tactical dynacomp 7.62x39 muzzlebrake & compensator for AK,"3,134"
Orsis T-5000M muzzle break,"4,455"
Holosun LS321 Tactical device,"27,706"
Fab Defence PDC dust cover for AK-74,"32,392"
M9A3 thread protection cap,894
Mosin carbine stock,"3,936"
4-shell M870 12ga magazine cap,"7,191"
16 pcs. 9x18 PM PMM ammo box,"3,625"
Mosin rifle sniper carbine stock,"7,218"
DVL-10 M2 muzzle break,"5,774"
Ibuprofen painkillers (12/12),"34,415"
"COLT ""A2"" buffer tube","5,554"
Surv12 field surgical kit (15/15),"49,462"
12x70 RIP,612
Dorm room 206 Key,"2,208"
FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope,"110,591"
TT pistol 7.62x25 TT Gold,"25,117"
TA51 Mount for sights,"11,082"
A2 9x19 Flashhider for MPX,"2,146"
Dorm room 103 Key,"2,519"
RB-KORL key,"481,460"
Izhmash AK-12 regular stock,"6,322"
12.7x55 mm PS12A,112
Classic matches,"7,284"
Regular stock for HK MP7A2,"33,748"
"12/70 ""Poleva-3"" Slug",60
M1A Socom 16 upper part,"4,512"
Badger Ordnance Tactical Charging Handle Latch,"6,023"
TSNIITochMash VSS Vintorez stock,"3,771"
12/70 Flechette,112
"5.45 Design ""Aggressor"" handguard for AK","22,745"
Polymer stock for AK-74M (6P34 Sb.15),"2,276"
M14 DCSB,"5,985"
K1S Visor,"12,955"
PU 3.5x ring mount,"1,297"
Tactical sling bag,"1,756"
10 rnds. SKS internal box magazine 7.62x39,"2,295"
16 pcs. 9x18 PM BZHT gzh ammo box,"6,829"
Sig BRAVO4 4X30 Scope,"46,822"
60-round MAG5-60 5.56x45 STANAG magazine,"31,680"
LOBAEV Arms Stock,"11,175"
UltiMAK M1-B gas tube for AK,"3,006"
Noveske SWS N6 Split handguard for AR-10-compatible systems,"15,084"
2-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,698
TOZ 6P29M Mount,"11,546"
USEC baseball cap black,"3,873"
Orsis medium lenght rail,"5,443"
Portable defibrillator,"223,311"
FN Ring sight reflex sight,"10,128"
UTG Low Profile A2 Frontsight AR-15,"1,095"
Special Twitch Rivals 2020 mask,"31,289"
Izhmekh MP-133 Beechwood forestock,"2,350"
Socom 16 7.62x51 muzzlebrake & compensator for M1A (unthreaded),"5,348"
Crye Airframe Ears,"27,545"
RB-OB key,"314,847"
GLOCK 17 9x19 pistol,"12,610"
Cottage back entrance key,"22,476"
7.62x25mm TT Pst gzh,79
AS VAL Standard rear sight,"1,502"
SR1MP single rail mount,"5,385"
SIG Flip Up Frontsight,"5,868"
D Size Battery,"5,874"
Strike industries keymod 4 inch guide,"3,734"
Ops-Core Fast GUNSIGHT Mandible,"25,476"
Izhmash rear sight for PP-19-01,"4,777"
HK 416A5 Regular Low Profile Gas Block,"5,485"
Printed circuit board,"9,562"
Magpul MBUS Gen.2 Rearsight,"7,178"
Magpul AFG grip OD,"7,980"
Repellent,"12,785"
Izhmash RPK-16 regular handguard,"51,984"
Strike industries bridge guide,"2,170"
Orsis T-5000 Pistol Grip,"52,123"
HK End Cap Stock for MP5 Kurz,"4,416"
AKM (6P1 Sb.1-2) gas tube,"3,562"
Wooden clock,"48,148"
Vltor CASV keymod 6 inch guide,"7,141"
2P Klesch flashlight + laser designator,"10,475"
6B43 Zabralo-Sh 6A Armor (75/75),"338,444"
ADAR 2-15 wooden stock,"4,752"
Izhmash 5.45x39 muzzle break for AKS-74U (6P26 0-20),"1,212"
BEAR baseball cap,"2,425"
Izhmash 5.56x45 AK-102 muzzlebrake & compensator (6P44 0-20),"6,481"
Crye Airframe Chops,"39,724"
PM (t) 9x18PM pistol,"12,169"
4-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,"1,299"
UX PRO Beanie,"1,631"
40 mm VOG-25,"23,671"
5.45x39 mm HP,49
HK Ergo PSG-1 style pistol grip for AR-15 based systems,"33,486"
IOTV Gen4 armor (high mobility kit) (62/62),"163,363"
Wooden AK-74 handguard (6P20 Sb.6),899
Xenomorph sealing foam,"27,004"
60-round 6L31 5.45x39 magazine for AK-74 and compatibles,"28,680"
Upper receiver of the first generation SIG MPX,"6,147"
UHF RFID Reader,"47,479"
Antique vase,"60,779"
T-Shaped Plug,"3,820"
Hogue like TT rubber grips,"3,050"
Molot VPO-101 dust cover,"8,256"
DS Arms Holand Type Rearsight for SA-58,"1,652"
A pack of screws,"4,958"
30 pcs. 5.45x39 PRS gs ammo pack,"1,240"
Ammo case,"133,023"
Bars A-2607- 95x18,"2,911"
Radiator helix,"24,991"
.366 TKM FMJ,25
VSS 9x39 integral barrel-suppressor,"20,834"
VSS Vintorez dust cover,"6,259"
B&T charging handle for MP9,"15,796"
AKMP system front sight device,"2,509"
Tango Down Stubby BGV-MK46K tactical grip Black,"3,892"
Soap,"11,516"
SLAAP armor Plate (Tan),"107,435"
USB Adapter,"4,663"
East wing room 306 key,"20,161"
Pistol case,"10,920"
Chainlet,"10,099"
AK-74N 5.45x39 assault rifle,"33,666"
ETMI-019 Mount,"3,537"
Kolpak-1S riot helmet,"6,750"
Woods Plan,"10,132"
Barrel with compensator for Glock 17 9x19,"4,815"
12/70 Dual Sabot Slug,110
3V G Paratus 3-Day Operator's Tactical Backpack,"39,070"
Standard PP-19-01 30-round 9x19 magazine,"2,992"
AK-74M 5.45x39 assault rifle,"24,564"
ADAR 2-15 charging handle for AR-15,"5,578"
Izhmash 7.62x54 SVDS muzzlebrake & compensator,"1,535"
Orsis handguard for T-5000,"25,766"
Izhmash SOK-12 AK type stock,"2,464"
Custom cut mosin stock for TOZ-106,"8,539"
HK MP5 Upper receiver,"3,844"
"Gunpowder ""Eagle""","58,599"
Standard MP7 20-round 4.6x30 magazine,"3,849"
Rearsight ASh-12 Carry Handle,"6,757"
Burris FullField TAC 30 1-4x24 riflescope,"26,556"
Sig Sauer mount for the sights of Romeo series.,"2,528"
SI Enhanced pistol grip for AK,"4,761"
High profile mount for Trijicon RMR,"2,565"
Portable cabin key of customs Factory zone,"5,105"
7.62x25mm TT AKBS,73
SIG Flip Up Rearsight,"14,333"
Glock 18C 9x19 slide,"15,482"
Santa's hat,"19,794"
9x21 mm SP11,161
X Products X-5 MP5 50-round 9x19 magazine,"17,222"
Izhmash 5.45x39 AK-74M muzzlebrake & compensator (6P20 0-20),"1,637"
PWS CQB 74 5.45x39 Muzzle brake,"16,895"
NcSTAR Tactical blue laser LAM-Module,"7,507"
508mm barrel for M870 12ga with a fixed sight,"5,695"
Ops-Core Fast MT SUPER HIGH CUT Helmet Tan,"116,746"
Trijicon REAP-IR thermal riflescope,"310,685"
Barrel with compensator for Glock 18C 9x19,"33,750"
Sawn off 220mm Mosin barrel,"17,325"
Regular 514mm Mosin carabine barrel,"6,069"
Car first aid kit (220/220),"5,380"
M14 Enlarged Military Aperture Rearsight,"16,490"
Schaman shampoo,"14,323"
Five-seveN Standard Rear-sight,"1,734"
Armytek Predator Pro v3 XHP35 HI Flashlight,"3,650"
5.11 Tactec plate carrier (50/50),"204,236"
Double Star recoil pad 0.5 for ACE stock series,"7,566"
ADAR 2-15 wooden stock for AR-15 and compatibles,"2,518"
Crossbow tactical glasses,"4,774"
6B13 M assault armor (tan) (60/60),"392,554"
5.56x45 mm 55 FMJ,82
"SAI 10"" QD Rail foregrip for AR15","26,097"
"Gunpowder ""Hawk""","56,821"
Golden Star Balm (10/10),"70,217"
AK-74 5.45x39 assault rifle,"21,959"
510mm barrel for MP-133 12ga,"4,831"
Ultrafire WF-501B Flashlight,"2,637"
Magpul PMAG D-60 5.56x45 60-round magazine,"42,002"
LEO stock adapter for M870,"3,517"
SKS Standard Rearsight,"1,012"
Clin wiper,"5,193"
Eotech HHS-1 sight Tan,"42,058"
Remington Model 870 12ga shotgun,"23,327"
AN/PEQ-15 tactical device,"19,566"
Propital,"13,783"
Orsis long lenght rail,"10,569"
Custom Mosin rifle thread adapter,"2,116"
Texas Precision Products muzzlebrake for Mosin rifle,"8,824"
Crickent lighter,"7,150"
9x18 mm PM Pst gzh,53
Optical scope March Tactical 3-24x42 FFP,"25,644"
Energy-saving lamp,"10,613"
Construction measuring tape,"2,211"
"PSH-97 ""Djeta"" helmet","8,669"
Trijicon ACOG 3.5x35 scope,"13,889"
PMAG GEN M3 W 30 5.56x45 STANAG 30-round magazine,"4,863"
9x39 mm 7N9 SPP,"1,222"
RPK-16 5.45x39 light machine gun,"57,580"
Strike Cigarettes,"7,975"
12.7x55 mm PS12,166
Magpul MOE AKM HAND GUARD (Stealth Gray) for AK,"17,755"
5.56x45mm Warmage,293
AKM Standard Rearsight (6P1 Sb.2-1),845
HK Slim Line Stock,"4,450"
Izhmash AK bakelite pistol grip (6P4 Sb.8V),890
Zenit-Belomo PSO 1 4x24 scope,"12,466"
Apple juice,"7,125"
Special Twitch Rivals 2020 glasses,"54,341"
Makeshift 7.62x25 TT silencer,"8,465"
Money case,"316,929"
Russian Army pineapple juice,"10,597"
Toilet paper,"3,925"
URX-4 handguard for AR-10 and compatible,"124,943"
B-8 mount,"2,036"
Magpul MOE AR-15 pistol grip (FDE),"43,801"
P226R 9x19 pistol,"9,841"
KAC Folding micro sight Frontsight,"7,257"
Aimtech Tiger Shark,"5,725"
BNTI Gzhel-K armor (75/75),"160,107"
Regenerative stimulant injector eTG-change,"35,848"
7.62x54 R SNB ammo,"12,098"
SOK-12 CSS SIGHT RAIL MOUNT rear sight,"3,950"
EOtech Vudu 1-6 riflescope,"44,007"
MP-153 8-rd magazine extension,"8,793"
UM Tactical UM3 Sight Mount,"6,985"
MOE Carbine stock FDE,"7,289"
Zenit B-33 dust cover for AK-74,"13,032"
A set of tools,"20,500"
0.6L water bottle,"11,689"
20x70 7.5mm Buckshot,18
VOG-25 Khattabka grenade,"37,021"
TAPCO SAW-Style black pistol grip for AK,"5,806"
Rechargeable battery,"12,516"
APS Rearsight,"9,014"
Izhmash AKM dust cover (6P1 0-1),"1,171"
AK-105 5.45x39 assault rifle,"23,347"
DSA Folding stock for SA-58,"7,125"
Vltor CASV FAL foregrip for FAL,"16,784"
Magnet,"11,281"
Five-seveN MK2 Standard Frontsight,"6,271"
ASh-12 Folding sight Frontsight,"2,423"
Bramit silencer for a Mosin rifle,"30,087"
Dovetail OP-SKS mount.,"7,951"
B-3 mount,"4,872"
KAC QDSS NT-4 Black 5.56x45 silencer,"28,832"
Dorm room 308 Key,"2,521"
VOG-17 Khattabka grenade,"25,515"
Balaclava,"2,623"
9x21 mm SP12,180
Low profile mount for Trijicon RMR,"2,211"
Steiner Dbal PL tactical flashlight,"25,350"
Regular SV-98 7.62x54 silencer,"23,547"
Orsis T-5000 .308 sniper rifle,"94,207"
VSS Vintorez Standard Rearsight,"1,496"
BNTI LSHZ-2DTM Helmet,"70,675"
Barrel for Five-seveN 5.7x28,"4,447"
660mm .308 barrel for T-5000,"24,621"
"Bakelite 7.62x39 magazine for AK and compatibles, 40-round capacity","3,625"
9x21 mm SP10,149
Vepr KM / VPO-136 7.62x39 carbine,"14,544"
7.62x25mm TT LRN,40
SAI-02 10-round 12x76 magazine for SOK-12 and compatible weapons,"4,095"
M9A3 Standard Frontsight,"3,187"
NPZ USP-1 4x scope,"9,920"
Zenit RK-0 Foregrip,"9,112"
5L propane tank,"60,179"
HK End Cap Stock for MP5,"4,331"
Duct tape,"10,944"
Shoreline resort plan,"8,107"
Insulating tape,"9,398"
Pack of chlorine,"7,301"
Kiba Arms VDM CS gas tube,"6,998"
VPO-101 Standard Rearsight,821
CAA AKTS AK-74 Buffer Tube for AK and compatable (foldable),"10,048"
Apollon Soyuz cigarettes,"3,928"
AK-105 Standard Rearsight (6P44 Sb.1-30),"12,181"
Molot wooden VPO-209 stock,"2,192"
Izhmash 7.62x39 flash hider for AKML system,"1,318"
Printer paper,"5,487"
XRSU47SU Tactical Handguard for AKS-74U,"23,779"
Izhmash shoulder piece for AKMS (6P4 Sb.1-19),"9,145"
AN/PEQ-2 tactical device,"9,134"
Norotos Titanium Advanced Tactical Mount,"8,786"
"Compensator 2A ""X3"" 7.62x51 for AR-10","8,237"
Truglo TFX Glock front sight,"3,661"
Beretta M9A3 Standard Rearsight,"1,831"
DT MDR 7.62x51 Assault Rifle,"174,011"
9x19 mm Luger CCI,361
SAI Jail Break 5.56x45 for AR-15,"24,740"
Izhmash Vityaz receiver cover,"1,375"
Early produced SIG collapsing/telescoping MCX/MPX stock,"5,408"
SR1-MP magazine,"1,630"
"6B5-16 Zh -86 ""Uley"" armored rig (80/80)","44,493"
Trijicon ACOG TA01NSN 4x32 scope,"31,202"
Promag AA-70 20-round .308 M700 magazine,"6,867"
Hera Arms HG-15 pistol grip for AR-15 based systems,"4,131"
5.56x45 mm M856,101
Standard MPX 30-round 9x19 magazine,"2,342"
9x39 mm SP-6,666
BEAR baseball cap black,"1,901"
Vepr Hunter/VPO-101 7.62x51 carbine,"35,381"
AKM / VPO-209 Standard Rearsight,408
5.45x39 mm T,34
Kotton beanie,"15,419"
BCM MOD.3 Tactical grip,"5,055"
5.56x45 mm M995,"1,797"
MOE Carbine stock SG,"8,172"
Slender mask,"32,794"
Trijicon ACOG TA01NSN 4x32 scope TAN,"16,660"
8-shell MP-133x8 12ga magazine,"5,009"
M14 Ultimak M8 upper part,"40,948"
Magpul MOE AR-15 pistol grip,"25,571"
Highcom Striker ACHHC IIIA black helmet,"48,280"
100-round MAG5-100 5.56x45 STANAG magazine,"44,189"
30mm ring-mount Remington integral for model 700 rifles,"3,867"
RDG-2B Smoke grenade,"8,187"
Cottage safe key,"23,033"
120 pcs. 5.45x39 PRS gs ammo pack,"5,528"
12/70 FTX Custom LIte Slug,82
Interchange paper map,"8,293"
Aim sport Universal M-LOK foregrip for FAL,"6,347"
"21"" barrel for SA-58 7.62x51","36,764"
FORT Redut-T5 body armor (95/95),"258,224"
M14 M14ALCS(MOD. 0) stock,"13,835"
"Izhmash 7.62x39 AKMS aluminium magazine for AK and compatibles, 30-round capacity","1,522"
MOE Carbine stock FG,"6,919"
Vaseline (10/10),"28,610"
AK-102 5.56x45 assault rifle,"59,490"
KAC stopper panel for URX 3/3.1 FDE,"3,693"
T-7 Thermal Goggles with Night Vision Mounts,"8,315,856"
7.62x25mm TT FMJ43,49
Hexagon handguard for AK(anodized red),"27,650"
Polymer ASh-12 foregrip,"2,218"
Dorm room 108 Key,"4,164"
Ripstop cloth,"9,257"
AK-74 Standard Rearsight (6P1 Sb.2),"1,569"
30mm Scope mount,"4,998"
PU 3.5x riflescope,"11,858"
B&T MP5 SD Tri Rail Ring Mount,"7,302"
FN Attenuator 5.7x28 silencer,"42,644"
FORT Redut-M body armor (57/57),"148,548"
APB detachable wire stock,"8,180"
XS Short rail with Ghost ring for M870,"6,650"
Magpul Zhukov-U HAND GUARD (FDE) for AK,"14,857"
Eotech XPS3-0 holographic sight,"18,574"
Dorm room 204 Key,"4,852"
OFZ 30x160mm shell,"148,935"
Ops-Core Fast  Side Armor,"26,877"
Hexagon SKS 7.62x39 sound suppressor,"26,987"
Mosin bolt-action infantry rifle,"22,333"
Wooden stock 56-A-231 Sb.5,"4,560"
FN Upper receiver for PS90,"3,257"
Threaded barrel for P226 9x19,"5,118"
Vepr AKM / VPO-209 366TKM carbine,"15,733"
Troy QARS 3.2 inch guide,"2,061"
7.62x54R 7N37,"1,201"
AS VAL,"102,506"
GSSh-01 active headset,"11,174"
Dorm room 303 Key,"5,592"
9x19 mm AP 6.3,743
Army cap,909
Pile of meds,"13,525"
Paid AntiRoach,"11,187"
Magpul AFG grip FDE,"6,538"
6SH118 raid backpack,"112,121"
PP-91 Kedr 9x18PM SMG,"14,021"
5.56x45 mm 55 HP,58
JP Enterprises Gas System-6,"10,532"
30mm rings made by Nightforce,"6,236"
NSPU-M night Scope,"8,429"
Vulcan MG scope eyecup,"1,124"
PP-19-01 gas tube,"7,402"
Izhmash Rearsight base for RPK-16,"1,874"
Heat shield for SV-98 silencer,936
CAA HX-5 MP5 handguard,"20,623"
Walker's Razor Digital headset,"44,086"
UZGRM grenade fuze,"18,662"
Ded Moroz hat,"45,989"
SilencerCo Osprey 9 9x19mm sound suppressor,"25,338"
Izhmash AK-74 dust cover (6P1 0-1),"2,190"
"Wartech gear rig (TV-109, TV-106)","12,829"
10-round Saiga 545 5.45x39 magazine for AK-74 and compatibles,751
B&T MP9 9x19mm sound suppressor,"27,959"
Spark plug,"8,346"
Door key (alternative),"3,699"
Shroud half-mask,"45,077"
Izhmash 5.45x39 AK-74 muzzlebrake & compensator (6P20 0-20),"1,222"
Weapon Tuning SKS tread adapter,"3,196"
A*B Arms MOD X Gen.3 keymod handguard for M700,"11,656"
HK A2 Stock,"14,844"
Tube of Poxeram Cold Welding,"13,681"
Can of beef stew,"9,216"
East wing room 308 key,"21,630"
Troy QARS 4.2 inch guide,"6,676"
Handguard War Sport LVOA-C blk. for use with AR-15 and compatible,"20,696"
MSA Gallet TC 800 High Cut combat helmet,"56,444"
Pistol grip SIG MPX,"2,635"
Molot AK bakelite pistol grip,847
Beretta M9A3 9x19 pistol,"10,366"
VS-24 Handguard with a VS-33c gas block combo for AK,"23,079"
BlackRock chest rig,"39,602"
4.6x30mm Action SX,83
Axion Cobra mount,"5,565"
Special Sniper Rifle VSS Vintorez,"87,654"
X-47 AK 7.62x39 50 rnd magazine,"34,808"
Dorm room 118 Key,"3,774"
"Pmag 30 AK74 GEN M3 5.45x39 magazine for AK and compatibles, 30-round capacity","2,925"
HK MP7A1 4.6x30 submachinegun,"53,811"
B-13 rail platform,"10,386"
95-round 5.45x39 magazine for RPK-16 and compatibles,"20,763"
9x18 mm PM 9 BZT gzh,68
"11"" barrel for 416A5 and compatible 5.56x45","15,116"
Tango Down Stubby BGV-MK46K tactical grip FDE,"3,780"
"SSO ""Attack 2"" raid backpack","54,838"
Zenit RK-1 Foregrip on B-25U mount,"51,480"
Army bandage,"2,080"
Squash spread,"11,355"
Direct Thread Mount adapter for Silencerco Hybrid 46.,"5,905"
F5 MPX Drum mag 50-round 9x19 magazine,"24,501"
Grizzly First Aid Kit (1800/1800),"51,979"
Wooden CAF WASR 10-63 handguard,"8,714"
M14 UTG 4 point locking deluxe mount,"12,068"
"SRVV ""Mk.2.0"" compensator 7.62x54 for SV-98","8,999"
"16"" barrel for a M1A 7.62x51 NATO","11,793"
ZSh-1-2M helmet,"36,021"
TerraGroup Labs access keycard,"207,618"
HK quadrail handguard for 416-compatible systems,"6,164"
VOMZ Pilad 4x32 riflescope,"9,485"
WIFI Camera,"36,995"
SI Viper Mod.1 Stock,"10,910"
Submachinegun 19-01 Vityaz-SN 9x19,"18,987"
"Troy Industries 13"" M-LOK foregrip for 416A5","25,634"
Harris HBR Bipod,"71,225"
Saiga-9 9x19 Carbine,"9,415"
9x18 mm PM SP8 gzh,76
6L29 30-round 5.56x45 magazine for AK-101 and compatible weapons,"2,375"
Zenit-Belomo PSO 1M2-1 4x24 scope,"13,303"
6L18 45-round 5.45x39 magazine for AK-74 and compatible weapons,"5,226"
VLTOR CMRD Keymod handguard for AK,"40,382"
HK Noveske style muzzlebrake & compensator for MP-5,"10,310"
"HK ""Battle Grip"" pistol grip for AR-15 based systems","1,867"
Magpul MOE AKM HAND GUARD (Olive Drab) for AK,"14,159"
Multi-hit ballistic face shield-visor for Ops-Core FAST helmet (40/40),"62,687"
406mm Molot barrel for AR-15 and compatible 5.56x45,"16,641"
PWS CQB 5.56 x 45 Muzzle brake,"10,265"
Mosin Rearsight,952
B&T 3x rail mount for MP5,"5,855"
7.62x54R SNB,324
M9A3 9x19 pistol slide,"13,819"
AA Battery,"4,481"
AK-74 Gas tube,"3,339"
6h5 Bayonet,"16,222"
La Rue Tactical picatinny riser QD LT-101 mount,"3,626"
Daniel Defence RIS II 9.5 foregrip for AR-15-compatible systems (red),"14,313"
"6B5-15 Zh -86 ""Uley"" armored rig (50/50)","61,707"
DT MDR 5.56x45 Assault Rifle,"47,715"
Dorm room 220 Key,"9,545"
Camper axe,"28,636"
Customs office key,"9,549"
MPX-SD 9x19 Integrated silencer,"13,369"
Rotor 43 .366TKM muzzle brake,"15,287"
"FAL/SA-58 ""MMW"" 7.62x51 20 rnd plastic mag","3,821"
M67 Hand grenade,"12,745"
9x19 mm Green Tracer,87
RAM,"13,389"
Dorm room 315 Key,"7,936"
Walther MRS reflex sight,"18,172"
Slim diary,"55,489"
RB-MP12 key,"66,038"
Coffee Majaica,"19,142"
Air filter for gas mask,"19,142"
Powercord,"19,144"
Cross Slot Mount base for Deltapoint scopes,"2,868"
"12.7x55 magazine for ASh-12, 20-round capacity","22,976"
PACA Soft Armor (50/50),"20,109"
P226 magazine,"2,681"
Threaded barrel for Five-seveN 5.7x28,"16,279"
Fab Defence GLR-16-S Stock,"6,385"
LBT 6094A Slick Plate Carrier,"398,516"
MP5SD Polymer handguard,"5,992"
7.62x51 mm M61,"1,808"
Dual Dovetail Mount for PVS-14 monocular,"2,875"
Threaded barrel for Glock 9x19 manufactured by Lone Wolf.,"11,985"
KMZ 1P59 3-10x riflescope,"13,424"
Surefire XC1 tactical flashlight,"10,741"
Remington Arms handguard for a R11 RSASS,"19,074"
B&T MP9 side rail,"1,151"
"20"" barrel for 416A5 and compatible 5.56x45","41,140"
7.62x54R 7BT1,613
5.45x39 mm PS,48
K&M The Handler charge handle for P90,"4,799"
Double Diamond flash hider,"4,511"
Magpul MOE AKM HAND GUARD (Flat Dark Earth) for AK,"13,247"
"22"" barrel for a AR-10 and compatible 7.62x51 NATO","38,398"
ASh-12 12.7x55 assault rifle,"76,267"
"Molot magazine for AK and compatibles, 75-round capacity","15,365"
West wing room 306 key,"30,644"
Yotota car key,951
Hera Arms CQR tactical grip,"23,053"
PM 9x18PM pistol,"5,764"
9x18 mm PM PPe gzh,49
Zenit RP-1 charge handle for AK,"3,070"
20/70 Slug Poleva-6u,74
SRVV 5.45x39 AK-74 muzzlebrake,"7,693"
9x21 Serdyukov automatic pistol SR1MP Gyurza,"23,859"
Izhmash 9x19 Saiga-9 muzzle brake/compensator,"2,406"
East wing room 322 key,"103,961"
PTR Tri-Rail MP5 handguard,"14,329"
"14"" 9x19 barrel for MPX","23,531"
Standard 9x19 20-round magazine for MP9,"6,247"
Nordic Corvette 5.56x45 compensator for AR-15,"11,555"
Izhmash RPK-16 buffer tube,"4,236"
Strike industries TRAX 1 foregrip,"8,375"
660 mm barrel for MP-153 12ga shotgun,"14,444"
Glock Alpha Wolf slide,"6,742"
SIG Sauer P226R 9x19 pistol slide,"3,756"
Highcom Striker ULACH IIIA black helmet,"78,124"
"4.5"" 9x19 barrel for MPX","6,550"
M14 M14ALCS(MOD. 0) stock (buttstock),"11,563"
Carbine brake for SIG MPX by TACCOM,"8,671"
RB-PP key,"25,703"
Thunder Beast Ultra 5 Sound Suppressor,"25,060"
MP-153 7-rd magazine extension,"2,506"
Sig Sauer Standard Frontsight,964
Armasight N-15 Night Vision,"57,878"
Glock ZEV Tech Rear sight,"20,370"
Standard MP5 30-round 9x19 magazine,"4,246"
Gemtech SFN-57 5.7x28mm silencer,"55,863"
Remington R11 RSASS 7.62x51,"96,632"
Gemtech ONE 7.62x51 Sound Suppressor,"55,087"
Vulkan-5 (LShZ-5) heavy helmet,"188,463"
Shoreline paper map,"14,498"
Fischer Development FD917 suppressor,"27,926"
OKP-7 reflex sight (Dovetail),"19,232"
Izhmash 5.45x39 AK-105 muzzlebrake & compensator (6P44 0-20),"2,901"
TarCola,"9,780"
6B47 Ratnik-BSh Helmet,"25,153"
Blackhawk! Commando Chest Harness,"26,622"
Machinery key,"2,903"
Max energy,"11,428"
PRO 700 folding stock,"5,809"
Peltor Tactical Sport headset,"29,074"
"16"" barrel for P90 5.7x28","36,833"
RB-ST key,"106,633"
Wooden VPO-136 handguard,928
Object 11SR keycard,"872,707"
"SAI 14.5"" QD Rail foregrip for AR15","43,630"
9x19 mm RIP,776
The key to the gas station storage room,"6,791"
7.62x39 mm BP,747
Burris FastFire 3 Reflex Sight,"12,565"
RB-BK key,"76,664"
Wartech MK3 chest rig (TV-104),"27,079"
Fortis Red Brake 7.62x51 muzzle brake for AR-10,"15,203"
CAA RS47 foregrip for AK-compatible systems,"12,527"
NcSTAR ADO P4 Sniper 3-9x42 riflescope,"62,444"
Izhmash AK-74 Textolite pistol grip (6P4 Sb.9),746
Trailer park cabin key,"4,857"
Zenit RK-3 AK pistol grip,"8,744"
GP-5 gasmask,"19,433"
M14 Mini Scout mount,"7,771"
